收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,url,image_url
1040733,104年04月02日,"大同  寒溪",公所捕獲,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-2,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7343,http://asms.wsn.com.tw/Eland/Upload/104-0733/6E1E22B5B0D24B36A42FE9C7235E87DA.jpg
1040742,104年04月02日,"大同  崙埤",公所捕獲,3月齡以下,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7352,http://asms.wsn.com.tw/Eland/Upload/104-0742/C3672AFA99AC4B638493D3CA3B0A283E.jpg
1040743,104年04月02日,"五結  季水路",民眾送交,6月齡-1歲,,黃虎斑,混種貓,中,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7353,http://asms.wsn.com.tw/Eland/Upload/104-0743/9318F56A5FD4479C8F65D0E5E07E1806.jpg
1040744,104年04月02日,"冬山  太和",公所捕獲,"1-3 歲",母,棕,混種狗,大,,無,宜蘭縣動植物防疫所,E-4,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7354,http://asms.wsn.com.tw/Eland/Upload/104-0744/CDBEF5F0384641D0B6E1C3595B33DF9F.jpg
1040754,104年04月02日,"壯圍  美城村",公所捕獲,3-7歲,母,黃,混種狗,大,,無,宜蘭縣動植物防疫所,E-2,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7364,http://asms.wsn.com.tw/Eland/Upload/104-0754/BEB3A88B7956472A8EB3431DD8BAD5DB.jpg
1040755,104年04月02日,"壯圍  美福村",公所捕獲,6月齡-1歲,母,虎斑,混種狗,大,,無,宜蘭縣動植物防疫所,A-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7365,http://asms.wsn.com.tw/Eland/Upload/104-0755/BFC1A1915E3044BFBF0AC5DC94A82461.jpg
1040765,104年04月07日,"五結  錦眾村",公所捕獲,3-7歲,母,黃,混種狗,大,,無,宜蘭縣動植物防疫所,E-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7376,http://asms.wsn.com.tw/Eland/Upload/104-0765/22CFBC9006D64C949A0269880AF31F2D.jpg
1040770,104年04月07日,"宜蘭  梅洲二路",公所捕獲,3-7歲,公,棕黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-10,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7381,http://asms.wsn.com.tw/Eland/Upload/104-0770/3AD8A078755D4A1DA3023E842863B881.jpg
1040772,104年04月07日,"頭城  新興路",公所捕獲,3-7歲,,虎斑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7383,http://asms.wsn.com.tw/Eland/Upload/104-0772/245674DBD8D74EFE9D2642FC25D36A68.jpg
1040778,104年04月08日,"羅東  南門郵局",本所捕獲,3-7歲,公,白,混種狗,大,,無,宜蘭縣動植物防疫所,A-5,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7389,http://asms.wsn.com.tw/Eland/Upload/104-0778/6CCEBC53157846FCAD0E528C9EE786D9.jpg
